"Variable Name","Public","Protected","Private","Static","Final","Type","Initial Value","Annotation","Comment","Java File Path"
"android.gesture.GesturePoint.y","true","false","false","false","true","float","","","","\android\gesture\GesturePoint.java"
"android.gesture.GesturePoint.x","true","false","false","false","true","float","","","","\android\gesture\GesturePoint.java"
"android.gesture.GesturePoint.timestamp","true","false","false","false","true","long","","","","\android\gesture\GesturePoint.java"
"android.pim.vcard.VCardBuilder.mShouldUseQuotedPrintable","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.addressData","false","false","false","false","true","String","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mRefrainsQPToNameProperties","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mBuilder","false","false","true","false","false","StringBuilder","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_WS","false","false","true","true","true","String",""" ""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.PostalStruct.appendCharset","false","false","false","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mUsesAndroidProperty","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_DATA_PUBLIC","false","false","true","true","true","String","""PUBLIC""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.SHIFT_JIS","false","false","true","true","true","String","""SHIFT_JIS""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mIsDoCoMo","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.sPostalTypePriorityMap","false","false","true","true","true","Map<Integer,Integer>","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.DEFAULT_PHONE_TYPE","true","false","false","true","true","int","Phone.TYPE_HOME","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.reallyUseQuotedPrintable","false","false","false","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mVCardType","false","false","true","false","true","int","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_PARAM_ENCODING_BASE64_V21","false","false","true","true","true","String","""ENCODING=BASE64""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mNeedsToConvertPhoneticString","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.UTF_8","false","false","true","true","true","String","""UTF-8""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mAppendTypeParamName","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mUsesShiftJis","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_PARAM_ENCODING_QP","false","false","true","true","true","String","""ENCODING=QUOTED-PRINTABLE""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.VCARD_ITEM_SEPARATOR","false","false","true","true","true","String",""";""","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mVCardCharsetParameter","false","false","true","false","true","String","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mIsV30","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mOnlyOneNoteFieldIsAvailable","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.mShouldAppendCharsetParam","false","false","true","false","true","boolean","","","","\android\pim\vcard\VCardBuilder.java"
"android.pim.vcard.VCardBuilder.DEFAULT_POSTAL_TYPE","true","false","false","true","true","int","StructuredPostal.TYPE_HOME","","","\android\pim\vcard\VCardBuilder.java"
