"Variable Name","Public","Protected","Private","Static","Final","Type","Initial Value","Annotation","Comment","Class"
"x","true","false","false","false","true","float","null","[]","Optional.empty","\android\gesture\GesturePoint.java"
"y","true","false","false","false","true","float","null","[]","Optional.empty","\android\gesture\GesturePoint.java"
"timestamp","true","false","false","false","true","long","null","[]","Optional.empty","\android\gesture\GesturePoint.java"
"mEmptyView","false","false","false","false","false","View","null","[]","Optional.empty","\android\app\ListFragment.java"
"mProgressContainer","false","false","false","false","false","View","null","[]","Optional.empty","\android\app\ListFragment.java"
"mListShown","false","false","false","false","false","boolean","null","[]","Optional.empty","\android\app\ListFragment.java"
"mRequestFocus","false","false","true","false","true","Runnable","new Runnable() {

    public void run() {
        mList.focusableViewAvailable(mList);
    }
}","[]","Optional.empty","\android\app\ListFragment.java"
"mStandardEmptyView","false","false","false","false","false","TextView","null","[]","Optional.empty","\android\app\ListFragment.java"
"mAdapter","false","false","false","false","false","ListAdapter","null","[]","Optional.empty","\android\app\ListFragment.java"
"mHandler","false","false","true","false","true","Handler","new Handler()","[]","Optional.empty","\android\app\ListFragment.java"
"mEmptyText","false","false","false","false","false","CharSequence","null","[]","Optional.empty","\android\app\ListFragment.java"
"mListContainer","false","false","false","false","false","View","null","[]","Optional.empty","\android\app\ListFragment.java"
"mOnClickListener","false","false","true","false","true","AdapterView.OnItemClickListener","new AdapterView.OnItemClickListener() {

    public void onItemClick(AdapterView<?> parent, View v, int position, long id) {
        onListItemClick((ListView) parent, v, position, id);
    }
}","[]","Optional.empty","\android\app\ListFragment.java"
"mList","false","false","false","false","false","ListView","null","[]","Optional.empty","\android\app\ListFragment.java"
"mSampleSize","false","false","false","false","true","int","null","[]","Optional.empty","\android\os\LatencyTimer.java"
"mScaleFactor","false","false","false","false","true","int","null","[]","Optional.empty","\android\os\LatencyTimer.java"
"TAG","false","false","false","false","true","String","""LatencyTimer""","[]","Optional.empty","\android\os\LatencyTimer.java"
"store","false","false","false","false","false","HashMap<String,long[]>","new HashMap<String, long[]>()","[]","Optional.empty","\android\os\LatencyTimer.java"
"mChars","false","false","true","false","false","char","null","[]","Optional.empty","\android\text\AlteredCharSequence.java"
"mSource","false","false","true","false","false","CharSequence","null","[]","Optional.empty","\android\text\AlteredCharSequence.java"
"mSpanned","false","false","true","false","false","Spanned","null","[]","Optional.empty","\android\text\AlteredCharSequence.java"
"mEnd","false","false","true","false","false","int","null","[]","Optional.empty","\android\text\AlteredCharSequence.java"
"mStart","false","false","true","false","false","int","null","[]","Optional.empty","\android\text\AlteredCharSequence.java"
"HISTORY_SIZE","false","false","true","true","true","int","5","[]","Optional[// Touch-up filter: number of previous positions remembered
]","\android\widget\TextView.java"
"mTextSelectHandleRightRes","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mMaxScroll","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mRepeatLimit","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mIsActive","false","false","true","false","false","boolean","false","[]","Optional[// Visible or not (scrolled off screen), whether or not this handle should be visible
]","\android\widget\TextView.java"
"privateImeOptions","false","false","false","false","false","String","null","[]","Optional.empty","\android\widget\TextView.java"
"mPopupInlineErrorBackgroundId","false","false","true","false","false","int","0","[]","Optional.empty","\android\widget\TextView.java"
"mSingleLine","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"CENTER","true","false","false","true","true","int","1","[]","Optional.empty","\android\widget\TextView.java"
"mPositionY","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mPositionX","false","false","true","false","false","int","null","[]","Optional[// Position with respect to the parent TextView
]","\android\widget\TextView.java"
"CREATOR","true","false","false","true","true","Parcelable.Creator<SavedState>","new Parcelable.Creator<SavedState>() {

    public SavedState createFromParcel(Parcel in) {
        return new SavedState(in);
    }

    public SavedState[] newArray(int size) {
        return new SavedState[size];
    }
}","[@SuppressWarnings(""hiding"")]","Optional.empty","\android\widget\TextView.java"
"mPath","false","false","true","false","true","Path","new Path()","[]","Optional.empty","\android\widget\TextView.java"
"mSelectAllOnFocus","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"mFreezesText","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mScrollUnit","false","false","true","false","true","float","null","[]","Optional.empty","\android\widget\TextView.java"
"MESSAGE_START","false","false","true","true","true","int","0x1","[]","Optional.empty","\android\widget\TextView.java"
"PIXELS","false","false","true","true","true","int","2","[]","Optional.empty","\android\widget\TextView.java"
"mSpannableFactory","false","false","true","false","false","Spannable.Factory","Spannable.Factory.getInstance()","[]","Optional.empty","\android\widget\TextView.java"
"mIsDragging","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mDrawables","false","false","true","false","false","Drawables","null","[]","Optional.empty","\android\widget\TextView.java"
"mContentChanged","false","false","false","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"LEFT","true","false","false","true","true","int","0","[]","Optional.empty","\android\widget\TextView.java"
"selStart","false","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mSquaredTouchSlopDistance","false","false","true","false","true","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mUserSetTextScaleX","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"EXTRACT_UNKNOWN","false","false","false","true","true","int","-1","[]","Optional.empty","\android\widget\TextView.java"
"mShadowRadius","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mDiscardNextActionUp","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"mIsShowing","false","false","true","false","false","boolean","null","[]","Optional[// Whether selection anchors are active
]","\android\widget\TextView.java"
"mHotspotX","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mBoring","false","false","true","false","false","BoringLayout.Metrics","null","[]","Optional.empty","\android\widget\TextView.java"
"mTextSelectHandleRes","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mBufferType","false","false","true","false","false","BufferType","BufferType.NORMAL","[]","Optional.empty","\android\widget\TextView.java"
"mCorrectionHighlighter","false","false","true","false","false","CorrectionHighlighter","null","[]","Optional[// Used to highlight a word when it is corrected by the IME
]","\android\widget\TextView.java"
"mSelectionControllerEnabled","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mListeners","false","false","true","false","false","ArrayList<TextWatcher>","null","[]","Optional.empty","\android\widget\TextView.java"
"mInputType","false","false","true","false","false","int","EditorInfo.TYPE_NULL","[]","Optional.empty","\android\widget\TextView.java"
"sourceTextView","true","false","false","false","false","TextView","null","[]","Optional.empty","\android\widget\TextView.java"
"imeOptions","false","false","false","false","false","int","EditorInfo.IME_NULL","[]","Optional.empty","\android\widget\TextView.java"
"DELAY_BEFORE_FADE_OUT","false","false","true","true","true","int","4000","[]","Optional.empty","\android\widget\TextView.java"
"mCurHintTextColor","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mInsertionControllerEnabled","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mPreviousOffsetsTimes","false","false","true","false","true","long","new long[HISTORY_SIZE]","[]","Optional.empty","\android\widget\TextView.java"
"mSpacingAdd","false","false","true","false","false","float","0","[]","Optional.empty","\android\widget\TextView.java"
"imeActionLabel","false","false","false","false","false","CharSequence","null","[]","Optional.empty","\android\widget\TextView.java"
"mIdealVerticalOffset","false","false","true","false","false","float","null","[]","Optional[// Where the touch position should be on the handle to ensure a maximum cursor visibility
]","\android\widget\TextView.java"
"mMinTouchOffset","false","false","true","false","false","int","null","[]","Optional[// The offsets of that last touch down event. Remembered to start selection there.
]","\android\widget\TextView.java"
"mChangedStart","false","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mCursorCount","false","false","true","false","false","int","null","[]","Optional[// Actual current number of used mCursorDrawable: 0, 1 or 2
]","\android\widget\TextView.java"
"EMPTY_SPANNED","false","false","true","true","true","Spanned","new SpannedString("""")","[]","Optional.empty","\android\widget\TextView.java"
"mFadingStartTime","false","false","true","false","false","long","null","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_RESOLUTION","false","false","true","true","true","int","1000 / 30","[]","Optional.empty","\android\widget\TextView.java"
"mCustomSelectionActionModeCallback","false","false","true","false","false","Callback","null","[]","Optional.empty","\android\widget\TextView.java"
"mEditableFactory","false","false","true","false","false","Editable.Factory","Editable.Factory.getInstance()","[]","Optional.empty","\android\widget\TextView.java"
"mFadeStop","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mCurTextColor","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mCancelled","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mTransformed","false","false","true","false","false","CharSequence","null","[]","Optional.empty","\android\widget\TextView.java"
"mMaximum","false","false","true","false","false","int","Integer.MAX_VALUE","[]","Optional.empty","\android\widget\TextView.java"
"ID_CUT","false","false","true","true","true","int","android.R.id.cut","[]","Optional.empty","\android\widget\TextView.java"
"mBeforeText","false","false","true","false","false","CharSequence","null","[]","Optional.empty","\android\widget\TextView.java"
"mStartHandle","false","false","true","false","false","HandleView","null","[]","Optional[// The cursor controller images, lazily created when shown.
]","\android\widget\TextView.java"
"mSelectionActionMode","false","false","true","false","false","ActionMode","null","[]","Optional.empty","\android\widget\TextView.java"
"mStatus","false","false","true","false","false","byte","MARQUEE_STOPPED","[]","Optional.empty","\android\widget\TextView.java"
"ID_COPY_URL","false","false","true","true","true","int","android.R.id.copyUrl","[]","Optional[// Context menu entries
]","\android\widget\TextView.java"
"PRIORITY","false","false","true","true","true","int","100","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_RESTART_DELAY","false","false","true","true","true","int","1200","[]","Optional.empty","\android\widget\TextView.java"
"LINES","false","false","true","true","true","int","1","[]","Optional.empty","\android\widget\TextView.java"
"PREDRAW_PENDING","false","false","true","true","true","int","1","[]","Optional.empty","\android\widget\TextView.java"
"mInputMethodState","false","false","false","false","false","InputMethodState","null","[]","Optional.empty","\android\widget\TextView.java"
"mChars","false","false","true","false","false","char","null","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_DELAY","false","false","true","true","true","int","1200","[]","Optional.empty","\android\widget\TextView.java"
"mMaxWidth","false","false","true","false","false","int","Integer.MAX_VALUE","[]","Optional.empty","\android\widget\TextView.java"
"mMinWidthMode","false","false","true","false","false","int","PIXELS","[]","Optional.empty","\android\widget\TextView.java"
"mMinMode","false","false","true","false","false","int","LINES","[]","Optional.empty","\android\widget\TextView.java"
"mView","false","false","true","false","true","WeakReference<TextView>","null","[]","Optional.empty","\android\widget\TextView.java"
"mNumberPreviousOffsets","false","false","true","false","false","int","0","[]","Optional.empty","\android\widget\TextView.java"
"mHandle","false","false","true","false","false","HandleView","null","[]","Optional[// The cursor controller image. Lazily created.
]","\android\widget\TextView.java"
"sCursorControllerTempRect","false","false","true","true","false","Rect","new Rect()","[]","Optional[// Only one cursor controller is active at any time which prevent race conditions.
]","\android\widget\TextView.java"
"mShowCursor","false","false","true","false","false","long","null","[]","Optional.empty","\android\widget\TextView.java"
"PREDRAW_NOT_REGISTERED","false","false","true","true","true","int","0","[]","Optional.empty","\android\widget\TextView.java"
"mContainerPositionX","false","false","true","false","false","int","null","[]","Optional[// PopupWindow container absolute position with respect to the enclosing window
]","\android\widget\TextView.java"
"mDesiredHeightAtMeasure","false","false","true","false","false","int","-1","[]","Optional.empty","\android\widget\TextView.java"
"sLastCutOrCopyTime","false","false","true","true","false","long","null","[]","Optional[// System wide time for last cut or copy action.
]","\android\widget\TextView.java"
"mPopup","false","false","true","false","false","ErrorPopup","null","[]","Optional.empty","\android\widget\TextView.java"
"mSelectionMoved","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"ID_SELECTION_MODE","false","false","true","true","true","int","android.R.id.selectTextMode","[]","Optional.empty","\android\widget\TextView.java"
"mPastePopupShower","false","false","true","false","false","Runnable","null","[]","Optional.empty","\android\widget\TextView.java"
"mTextEditNoPasteWindowLayout","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mEnterKeyIsDown","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"EMS","false","false","true","true","true","int","LINES","[]","Optional.empty","\android\widget\TextView.java"
"mPopupInlineErrorAboveBackgroundId","false","false","true","false","false","int","0","[]","Optional.empty","\android\widget\TextView.java"
"mContainer","false","false","true","false","true","PopupWindow","null","[]","Optional.empty","\android\widget\TextView.java"
"sTempRect","false","false","true","true","true","RectF","new RectF()","[]","Optional.empty","\android\widget\TextView.java"
"TOUCH_UP_FILTER_DELAY_BEFORE","false","false","true","true","true","int","350","[]","Optional.empty","\android\widget\TextView.java"
"mLayout","false","true","false","false","false","Layout","null","[]","Optional[/**
 * This is temporarily visible to fix bug 3085564 in webView. Do not rely on
 * this field being protected. Will be restored as private when lineHeight
 * feature request 3215097 is implemented
 * @hide
 */
]","\android\widget\TextView.java"
"mHintLayout","false","false","true","false","false","Layout","null","[]","Optional.empty","\android\widget\TextView.java"
"SANS","false","false","true","true","true","int","1","[]","Optional[// TODO: How can we get this from the XML instead of hardcoding it here?
]","\android\widget\TextView.java"
"mHint","false","false","true","false","false","CharSequence","null","[]","Optional.empty","\android\widget\TextView.java"
"NO_FILTERS","false","false","true","true","true","InputFilter","new InputFilter[0]","[]","Optional.empty","\android\widget\TextView.java"
"mSelectionModifierCursorController","false","false","true","false","false","SelectionModifierCursorController","null","[]","Optional.empty","\android\widget\TextView.java"
"mPastePopupWindow","false","false","true","false","false","PastePopupMenu","null","[]","Optional.empty","\android\widget\TextView.java"
"mScroller","false","false","true","false","false","Scroller","null","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_STOPPED","false","false","true","true","true","byte","0x0","[]","Optional.empty","\android\widget\TextView.java"
"mScroll","false","false","false","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mSavedLayout","false","false","true","false","false","BoringLayout","null","[]","Optional.empty","\android\widget\TextView.java"
"SIGNED","false","false","true","true","true","int","2","[]","Optional[// TODO: How can we get this from the XML instead of hardcoding it here?
]","\android\widget\TextView.java"
"mMarquee","false","false","true","false","false","Marquee","null","[]","Optional.empty","\android\widget\TextView.java"
"mDPadCenterIsDown","false","false","true","false","false","boolean","false","[]","Optional[// select from the current cursor position. Otherwise, select from long pressed position.
]","\android\widget\TextView.java"
"ID_SELECT_ALL","false","false","true","true","true","int","android.R.id.selectAll","[]","Optional[// Selection context mode
]","\android\widget\TextView.java"
"mTemporaryDetach","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mLinkTextColor","false","false","true","false","false","ColorStateList","null","[]","Optional.empty","\android\widget\TextView.java"
"mCursorDrawableRes","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mMinWidth","false","false","true","false","false","int","0","[]","Optional.empty","\android\widget\TextView.java"
"MULTILINE_STATE_SET","false","false","true","true","true","int","{ R.attr.state_multiline }","[]","Optional[// New state used to change background based on whether this TextView is multiline.
]","\android\widget\TextView.java"
"mSelectHandleRight","false","false","true","false","false","Drawable","null","[]","Optional.empty","\android\widget\TextView.java"
"LOG_TAG","false","false","false","true","true","String","""TextView""","[]","Optional.empty","\android\widget\TextView.java"
"mCursorChanged","false","false","false","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mTextIsSelectable","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"start","true","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mSelectHandleCenter","false","false","true","false","false","Drawable","null","[]","Optional.empty","\android\widget\TextView.java"
"TOUCH_UP_FILTER_DELAY_AFTER","false","false","true","true","true","int","150","[]","Optional.empty","\android\widget\TextView.java"
"mTextSelectHandleLeftRes","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mPreDrawState","false","false","true","false","false","int","PREDRAW_NOT_REGISTERED","[]","Optional.empty","\android\widget\TextView.java"
"mSelectHandleLeft","false","false","true","false","false","Drawable","null","[]","Optional.empty","\android\widget\TextView.java"
"mAbove","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"mExtracting","false","false","false","false","false","ExtractedTextRequest","null","[]","Optional.empty","\android\widget\TextView.java"
"mBatchEditNesting","false","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mMovement","false","false","true","false","false","MovementMethod","null","[]","Optional.empty","\android\widget\TextView.java"
"BLINK","false","false","true","true","true","int","500","[]","Optional.empty","\android\widget\TextView.java"
"mCurrentAlpha","false","false","true","false","false","int","255","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_DELTA_MAX","false","false","true","true","true","float","0.07f","[]","Optional[// TODO: Add an option to configure this
]","\android\widget\TextView.java"
"mErrorWasChanged","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mIgnoreActionUpEvent","false","false","true","false","false","boolean","false","[]","Optional.empty","\android\widget\TextView.java"
"MARQUEE_RUNNING","false","false","true","true","true","byte","0x2","[]","Optional.empty","\android\widget\TextView.java"
"onEditorActionListener","false","false","false","false","false","OnEditorActionListener","null","[]","Optional.empty","\android\widget\TextView.java"
"ID_COPY","false","false","true","true","true","int","android.R.id.copy","[]","Optional.empty","\android\widget\TextView.java"
"MESSAGE_RESTART","false","false","true","true","true","int","0x3","[]","Optional.empty","\android\widget\TextView.java"
"mPreviousOffsets","false","false","true","false","true","int","new int[HISTORY_SIZE]","[]","Optional.empty","\android\widget\TextView.java"
"frozenWithFocus","false","false","false","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mTextColor","false","false","true","false","false","ColorStateList","null","[]","Optional.empty","\android\widget\TextView.java"
"text","false","false","false","false","false","CharSequence","null","[]","Optional.empty","\android\widget\TextView.java"
"mText","false","false","true","false","false","CharSequence","null","[@ViewDebug.ExportedProperty(category = ""text"")]","Optional.empty","\android\widget\TextView.java"
"mHorizontallyScrolling","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mHider","false","false","true","false","false","Runnable","null","[]","Optional.empty","\android\widget\TextView.java"
"mHighlightColor","false","false","true","false","false","int","0xCC475925","[]","Optional.empty","\android\widget\TextView.java"
"mLastDownPositionX","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mDownPositionX","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mGhostStart","false","false","true","false","false","float","null","[]","Optional.empty","\android\widget\TextView.java"
"mCreatedWithASelection","false","false","true","false","false","boolean","false","[]","Optional[// Set when this TextView gained focus with some text selected. Will start selection mode.
]","\android\widget\TextView.java"
"mBlink","false","false","true","false","false","Blink","null","[]","Optional.empty","\android\widget\TextView.java"
"mMaxWidthMode","false","false","true","false","false","int","PIXELS","[]","Optional.empty","\android\widget\TextView.java"
"FADE_OUT_DURATION","false","false","true","true","true","int","400","[]","Optional.empty","\android\widget\TextView.java"
"mStart","false","false","true","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mTmpRectF","false","false","false","false","false","RectF","new RectF()","[]","Optional.empty","\android\widget\TextView.java"
"mDrawableWidthTop","false","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mTextPaint","false","false","true","false","true","TextPaint","null","[]","Optional[// display attributes
]","\android\widget\TextView.java"
"mTempRect","false","false","false","false","false","Rect","null","[]","Optional.empty","\android\widget\TextView.java"
"extras","false","false","false","false","false","Bundle","null","[]","Optional.empty","\android\widget\TextView.java"
"mIsInsertionHandle","false","false","true","false","false","boolean","false","[]","Optional[// The insertion handle can have an associated PastePopupMenu
]","\android\widget\TextView.java"
"enterDown","false","false","false","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"ID_PASTE","false","false","true","true","true","int","android.R.id.paste","[]","Optional.empty","\android\widget\TextView.java"
"mFrozenWithFocus","false","false","true","false","false","boolean","null","[]","Optional.empty","\android\widget\TextView.java"
"mHighlightPath","false","false","true","false","false","Path","null","[]","Optional[// tmp primitives, so we don't alloc them on each draw
]","\android\widget\TextView.java"
"PREDRAW_DONE","false","false","true","true","true","int","2","[]","Optional.empty","\android\widget\TextView.java"
"mTouchOffsetY","false","false","true","false","false","float","null","[]","Optional[// Offsets the hotspot point up, so that cursor is not hidden by the finger when moving up
]","\android\widget\TextView.java"
"RIGHT","true","false","false","true","true","int","2","[]","Optional.empty","\android\widget\TextView.java"
"MONOSPACE","false","false","true","true","true","int","3","[]","Optional.empty","\android\widget\TextView.java"
"mIncludePad","false","false","true","false","false","boolean","true","[]","Optional.empty","\android\widget\TextView.java"
"mPasteViewLayouts","false","false","true","false","true","int","new int[] { mTextEditPasteWindowLayout, mTextEditNoPasteWindowLayout, mTextEditSidePasteWindowLayout, mTextEditSideNoPasteWindowLayout }","[]","Optional.empty","\android\widget\TextView.java"
"mDrawablePadding","false","false","false","false","false","int","null","[]","Optional.empty","\android\widget\TextView.java"
"mInputContentType","false","false","false","false","false","InputContentType","null","[]","Optional.empty","\android\widget\TextView.java"
