Comparision between Version i and Version j,Version i Total signatures,Version j Total signatures,Same Signatures Number,Added Signatures Number,Deleted Signatures Number,Same Signature But Different Method Body,Same Signature But Different Method Full Name,Same Signature But Different Method Class,Same Signature But Different Method Comment,Same Signature But Different Method Annotation,Added Annotations Number,Changed Annotations Number Both Annotations Are Not None,Added Comments Number,Changed Comments Number Both Comments Are Not None
"(4, 5)",10636,11361,10182,1179,454,358,0,0,159,71,71,0,28,131
"(5, 6)",11361,11396,11356,40,5,75,0,0,43,0,0,0,27,16
"(6, 7)",11396,11496,11393,103,3,64,0,0,13,0,0,0,1,12
"(7, 8)",11496,11729,10622,1107,874,671,0,0,227,32,30,0,31,191
"(8, 9)",11729,12252,11561,691,168,328,0,0,151,52,30,22,15,134
"(9, 10)",12252,12340,12247,93,5,35,0,0,17,1,1,0,0,17
"(10, 11)",12340,14558,11560,2998,780,1145,0,0,498,157,154,3,53,435
"(13, 14)",14558,15693,14189,1504,369,1020,0,0,267,35,34,0,16,244
"(14, 15)",15693,15781,15661,120,32,191,0,0,58,6,4,0,6,51
"(15, 16)",15781,16765,14919,1846,862,1192,0,0,691,71,61,10,33,655
"(16, 17)",16765,16525,15955,570,810,717,0,0,209,48,46,1,12,196
"(17, 18)",16525,17005,16252,753,273,538,0,0,265,71,70,1,28,235
"(18, 19)",17005,17185,16019,1166,986,583,0,0,170,82,80,2,8,161
"(19, 20)",17185,17199,17158,41,27,147,0,0,47,8,6,1,4,43
"(20, 21)",17199,20139,16507,3632,692,1165,0,0,372,179,161,12,10,357
"(21, 22)",20139,20170,19855,315,284,327,0,0,78,18,18,0,11,60
"(22, 23)",20170,21081,19388,1693,782,1028,0,0,465,504,438,62,19,443
"(23, 24)",21081,22013,20578,1435,503,1457,0,0,617,300,271,25,43,508
"(24, 25)",22013,22121,22000,121,13,120,0,0,59,12,11,0,1,58
"(25, 26)",22121,23249,21371,1878,750,1093,0,0,692,311,279,27,53,636
"(26, 27)",23249,23520,23153,367,96,367,0,0,113,29,27,1,3,110
"(27, 28)",23520,24640,23070,1570,450,1005,0,0,800,369,324,42,84,712
"(28, 29)",24640,26084,24276,1808,364,1050,0,0,643,1094,859,226,35,588
"(29, 30)",26084,27273,25401,1872,683,937,0,0,537,203,132,63,7,530
"(30, 31)",27273,28421,26288,2133,985,1135,0,0,453,448,272,173,5,447
"(31, 32)",28421,28515,28400,115,21,119,0,0,35,3,0,1,1,34
"(32, 33)",28515,29035,27517,1518,998,614,0,0,378,206,154,51,8,369
